patient_id,dose,viability,log_dose
ACH-000957,0.015625,0.6996783516033226,-4.1588830833596715
ACH-000957,0.00390625,0.8188694194003177,-5.545177444479562
ACH-002096,1.0,0.2665196593260276,0.0
ACH-002096,0.25,0.2231481983325607,-1.3862943611198906
ACH-002096,0.0625,0.2139911924460765,-2.772588722239781
ACH-002096,0.015625,0.2065988810714909,-4.1588830833596715
ACH-002096,0.00390625,0.2575506449511203,-5.545177444479562
ACH-002148,1.0,0.2412242158412726,0.0
ACH-002148,0.25,0.3032023502504075,-1.3862943611198906
ACH-002148,0.0625,0.2367068884215518,-2.772588722239781
ACH-002148,0.015625,0.220402277601124,-4.1588830833596715
ACH-002148,0.00390625,0.2238185535963385,-5.545177444479562
ACH-000615,1.0,0.2469529865999393,0.0
ACH-000615,0.25,0.2358795216356582,-1.3862943611198906
ACH-000615,0.0625,0.2644798987408723,-2.772588722239781
ACH-000615,0.015625,0.3056675815902944,-4.1588830833596715
ACH-000615,0.00390625,0.2807004223569053,-5.545177444479562
ACH-002263,1.0,0.2148591070329101,0.0
ACH-002263,0.25,0.2571198554469939,-1.3862943611198906
ACH-002263,0.0625,0.4117310462670953,-2.772588722239781
ACH-002263,0.015625,0.5021000781135209,-4.1588830833596715
ACH-002263,0.00390625,0.6361579167024245,-5.545177444479562
ACH-000969,1.0,0.6618962503147309,0.0
ACH-000969,0.25,0.6471683273404748,-1.3862943611198906
ACH-000969,0.0625,0.7259574246885564,-2.772588722239781
ACH-000969,0.015625,0.908112053561672,-4.1588830833596715
ACH-000969,0.00390625,1.0,-5.545177444479562
ACH-000841,1.0,0.3675034203949873,0.0
ACH-000841,0.25,0.3940845410194796,-1.3862943611198906
ACH-000841,0.0625,0.3956174037144948,-2.772588722239781
ACH-000841,0.015625,0.4309373203462605,-4.1588830833596715
ACH-000841,0.00390625,0.4636745358455888,-5.545177444479562
ACH-000291,1.0,0.0711856356808713,0.0
ACH-000291,0.25,0.0937938052516104,-1.3862943611198906
ACH-000291,0.0625,0.1236192952869337,-2.772588722239781
ACH-000291,0.015625,0.153978115955626,-4.1588830833596715
ACH-000291,0.00390625,0.2094981504695867,-5.545177444479562
ACH-000786,1.0,1.0,0.0
ACH-000786,0.25,0.9714241310230411,-1.3862943611198906
ACH-000786,0.0625,1.0,-2.772588722239781
ACH-000786,0.015625,1.0,-4.1588830833596715
ACH-000786,0.00390625,1.0,-5.545177444479562
ACH-000876,1.0,0.6816493176518467,0.0
ACH-000876,0.25,0.6534771459015962,-1.3862943611198906
ACH-000876,0.0625,0.8760857025283627,-2.772588722239781
ACH-000876,0.015625,1.0,-4.1588830833596715
ACH-000876,0.00390625,0.909917598614138,-5.545177444479562
ACH-000008,1.0,0.3606386073987569,0.0
ACH-000008,0.25,0.3577271831664152,-1.3862943611198906
ACH-000008,0.0625,0.3281297044497955,-2.772588722239781
ACH-000008,0.015625,0.3557702258473567,-4.1588830833596715
ACH-000008,0.00390625,0.4102288663335495,-5.545177444479562
